Sales_ID,Name,Year,Selling_Price,km_Driven,City_Code,State_Code,Postal_Code,Fuel,Seller_Type,Transmission,Owner,Mileage,Engine,Max_Power,Seats,City_Name,State_Code_city,City_Code_postal,Region_Code,Region,State_Name,Sold
1,Maruti Swift Dzire VDI,2014,450000,145500,CT01,ST15,400001,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,5,Mumbai,ST15,CT01,R3,West,Maharashtra,Y
2,Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,CT28,ST11,834001,Diesel,Individual,Manual,Second Owner,21.14 kmpl,1498 CC,103.52 bhp,5,Ranchi,ST11,CT28,R2,East,Jharkhand,Y
3,Honda City 2017-2020 EXi,2006,158000,140000,CT12,ST28,201301,Petrol,Individual,Manual,Third Owner,17.7 kmpl,1497 CC,78 bhp,5,Noida,ST28,CT12,R1,Central,Uttar Pradesh,Y
4,Hyundai i20 Sportz Diesel,2010,225000,127000,CT21,ST27,248001,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,5,Dehradun,ST27,CT21,R1,Central,Uttarakhand,Y
5,Maruti Swift VXI BSIII,2007,130000,120000,CT03,ST24,600020,Petrol,Individual,Manual,First Owner,16.1 kmpl,1298 CC,88.2 bhp,5,Chennai,ST24,CT03,R4,South,Tamil Nadu,Y
6,Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,CT06,ST22,302029,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,5,Jaipur,ST22,CT06,R5,North,Rajasthan,Y
7,Maruti Wagon R LXI DUO BSIII,2007,96000,175000,CT06,ST22,302029,LPG,Individual,Manual,First Owner,17.3 km/kg,1061 CC,57.5 bhp,5,Jaipur,ST22,CT06,R5,North,Rajasthan,Y
8,Maruti 800 DX BSII,2001,45000,5000,CT02,ST15,411002,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,4,Pune,ST15,CT02,R3,West,Maharashtra,Y
9,Toyota Etios VXD,2011,350000,90000,CT26,ST15,431001,Diesel,Individual,Manual,First Owner,23.59 kmpl,1364 CC,67.1 bhp,5,Aurangabad,ST15,CT26,R3,West,Maharashtra,Y
10,Ford Figo Diesel Celebration Edition,2013,200000,169000,CT10,ST12,560034,Diesel,Individual,Manual,First Owner,20.0 kmpl,1399 CC,68.1 bhp,5,Bangalore,ST12,CT10,R4,South,Karnataka,Y
11,Renault Duster 110PS Diesel RxL,2014,500000,68000,CT21,ST27,248001,Diesel,Individual,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,5,Dehradun,ST27,CT21,R1,Central,Uttarakhand,Y
12,Maruti Zen LX,2005,92000,100000,CT25,ST01,524225,Petrol,Individual,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,5,Nellore,ST01,CT25,R4,South,Andhra Pradesh,Y
13,Maruti Swift Dzire VDi,2009,280000,140000,CT04,ST24,641001,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,5,Coimbatore,ST24,CT04,R4,South,Tamil Nadu,Y
15,Maruti Wagon R LXI Minor,2009,180000,90000,CT20,ST28,208002,Petrol,Individual,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,5,kanpur,ST28,CT20,R1,Central,Uttar Pradesh,Y
16,Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,CT16,ST23,737101,Petrol,Individual,Manual,First Owner,18.15 kmpl,1198 CC,82 bhp,5,Gangtok,ST23,CT16,R6,North East,Sikkim,Y
17,Maruti Ertiga SHVS VDI,2016,778000,70000,CT07,ST13,682001,Diesel,Individual,Manual,Second Owner,24.52 kmpl,1248 CC,88.5 bhp,7,Kochi,ST13,CT07,R4,South,Kerala,Y
18,Hyundai i20 1.4 CRDi Asta,2012,500000,53000,CT01,ST15,400001,Diesel,Individual,Manual,Second Owner,23.0 kmpl,1396 CC,90 bhp,5,Mumbai,ST15,CT01,R3,West,Maharashtra,Y
