Postal_Code,City_Code
400001,CT01
400053,CT01
400035,CT01
400050,CT01
411002,CT02
411005,CT02
411043,CT02
411006,CT02
600020,CT03
600039,CT03
600017,CT03
600018,CT03
641001,CT04
641043,CT04
641006,CT04
641045,CT04
500004,CT05
500020,CT05
500032,CT05
500045,CT05
302029,CT06
302013,CT06
682001,CT07
682024,CT07
700027,CT08
700053,CT08
700005,CT08
110001,CT09
110029,CT09
110039,CT09
560034,CT10
560002,CT10
560037,CT10
560063,CT10
560030,CT10
382460,CT11
380052,CT11
382220,CT11
201301,CT12
800002,CT13
801110,CT13
395007,CT14
395101,CT14
751022,CT15
737101,CT16
391510,CT17
141003,CT18
570004,CT19
208002,CT20
248001,CT21
452010,CT22
452003,CT22
575001,CT23
574142,CT23
680004,CT24
680001,CT24
524225,CT25
431001,CT26
831001,CT27
834001,CT28
632001,CT29
